Muestra;Estacion;MuestraNew;X;Y;Z;Formacion Geologica;Unidad;Litologia;Abreviacion;Uni-Lito;Agua [%];Porosidad [%];Densidad [gr/cm3];Rho Dry [Ohm*m];Rho Wet [Ohm*m];M Dry [mV/V];M Wet [mV/V];Vp [m/s];Peak Load [kN];Is50 [MPa];LF [SI];HF [SI];FD [%];Distancia Falla [m];
LSS-87b;LSS-87;LSS-87b;1103949.12;1240990.96;1241.00;Fm. Rosablanca;K1r;lodo calcareo;Lc;K1r [Lc];7.25;0.50;2.56;149.95;26.88;4.33;6.30;5267.00;1.10;1.22;6.40E-05;4.26E-05;33.39;110.12;
LSS-87c;LSS-87;LSS-87c;1103949.12;1240990.96;1241.00;Fm. Rosablanca;K1r;lodo calcareo;Lc;K1r [Lc];9.69;0.44;2.45;195.28;42.61;4.76;6.36;5449.00;1.30;1.33;7.65E-05;6.62E-05;13.51;110.12;
Ls3-3;LSS-88;LSS-88;1107332.32;1246077.60;1620.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];7.07;5.30;2.45;8155.38;161.24;6.54;9.32;937.73;3.73;1.14;1.90E-06;2.55E-06;-33.96;0.24;
Ls3-8;LSS-89;LSS-89;1108494.89;1239088.49;1403.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];1.89;0.50;2.63;25852.49;2651.92;9.15;4.55;1767.96;7.01;2.93;1.01E-04;1.00E-04;0.57;223.61;
Ls3-10;LSS-90;LSS-90;1108698.18;1238854.11;1420.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];0.72;0.32;2.67;2717.19;1584.83;5.63;4.70;2235.81;4.94;3.11;2.26E-04;1.96E-04;13.20;532.88;
Ls4-5;LSS-91;LSS-91;1106930.84;1243588.70;1621.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];7.43;1.47;2.29;1505.99;69.23;4.65;13.21;1338.21;1.33;0.49;5.29E-06;9.77E-06;-84.54;959.60;
Ls4-7;LSS-92;LSS-92;1106536.58;1243597.27;1558.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];3.84;1.65;2.46;35356.64;756.65;5.05;8.54;1512.11;7.72;1.85;2.39E-06;1.87E-06;21.68;852.72;
Ls4-8;LSS-93;LSS-93;1106546.36;1243635.30;1562.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];4.87;0.50;2.43;52216.391;764.32;9.065;12.821;1875.40;2.30;0.74;3.28E-06;2.36E-06;27.91;819.92;
Ls4-9;LSS-94;LSS-94;1108356.00;1239098.18;1376.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];2.48;0.02;2.56;6223.126;1825.45;11.338;7.695;2034.98;6.82;2.71;7.96E-05;7.26E-05;8.90;150.39;
Ls4-10;LSS-95;LSS-95;1106649.60;1243545.54;1594.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];5.08;5.20;2.55;188402.00;903.40;9.33;10.29;1796.98;8.12;5.11;3.09E-06;1.42E-06;54.08;938.18;
Ls4-11a;LSS-96;LSS-96a;1106688.92;1243510.55;1600.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];2.99;0.21;2.50;53634.02;1468.61;5.37;14.15;2000.98;4.12;1.23;2.10E-06;1.29E-06;38.44;982.91;
Ls4-11b;LSS-96;LSS-96b;1106688.92;1243510.55;1600.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];3.70;2.51;2.55;68937.50;1223.77;8.39;14.07;1749.03;4.32;1.12;7.27E-06;4.44E-06;38.95;982.91;
Ls4-15;LSS-97;LSS-97;1108226.39;1244837.57;1666.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];9.15;0.32;2.25;23200.45;619.24;5.62;15.38;1393.58;0.92;0.21;8.31E-06;7.42E-06;10.79;201.24;
Ls4-16;LSS-98;LSS-98;1108252.99;1245057.94;1688.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];5.10;0.90;2.47;181150.64;658.51;14.23;7.58;1575.38;14.52;5.54;4.44E-06;4.77E-06;-7.46;48.40;
Ls4-20;LSS-99;LSS-99;1109354.30;1245570.42;1702.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];5.44;0.12;2.27;680500.52;840.55;10.50;3.12;1747.44;2.93;1.41;5.69E-06;1.07E-05;-88.46;492.37;
